description;biddable;startprice;condition;cellular;carrier;color;storage;sold;UniqueID
Will have some cosmetic damage.;0;164.99;Used;1;AT&T;Unknown;32;0;10235
;0;89.99;Used;0;None;Black;16;0;10498
;1;1;Used;1;AT&T;Black;16;1;11979
;1;0.99;Used;0;None;Black;16;1;10866
Works great! No scratches on the screen or front. Camera is in good working condition.  The back has ;1;0.99;Used;1;AT&T;Unknown;32;1;11085
Great shape, gently used, normal wear and tear;1;49.99;Used;0;None;Unknown;32;1;10387
;0;300;Used;0;None;White;64;0;12222
;1;1;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;12596
;0;650;New;1;AT&T;White;128;0;12387
These units are in great working condition.  All three have minor scratching around the headphone ;0;494.5;Used;0;None;Black;16;0;12258
Good condition.;1;99.99;Used;0;None;Black;16;1;10348
;0;639.99;New;0;None;Gold;128;0;12458
This iPad Mini 2 is gently used. The item shows very minor signs of use. Used less than 1 week. ;0;249;Used;1;AT&T;Space Gray;16;0;11873
;0;99.99;Seller refurbished;0;None;White;16;0;10012
;1;490;New;0;None;Unknown;64;1;10297
Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ;0;449.99;Used;0;None;White;64;0;10647
Great condition! Minor scratches on back.;1;99.99;Used;0;None;White;32;1;10721
Comes with original packaging, and has absolutely no scratches or marks.Absolutely beautiful item!It ;1;49.99;Used;0;None;Unknown;16;1;10692
;0;60;Used;0;None;White;64;0;10594
;0;294.99;Used;0;None;White;32;0;11068
For parts. As-Is. Cosmetically in good condition.;0;99.99;For parts or not working;Unknown;Unknown;White;16;0;12628
;1;95;Used;1;Verizon;Black;32;1;12094
;1;99;Used;0;None;Unknown;32;1;12168
Used Fully Functional, iPad ONLY.;0;154.99;Used;Unknown;Unknown;Unknown;Unknown;0;12459
;0;639;New;Unknown;Unknown;Unknown;Unknown;0;11238
;1;449.99;New;0;None;Unknown;64;0;10762
;0;125;Used;1;AT&T;Black;64;0;11401
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ;1;149.99;Used;0;None;Unknown;16;1;10519
Please see below;0;229;Used;0;None;Unknown;16;0;11799
;0;535;New;0;None;White;16;0;11187
This is in excellent condition, only mark is on back, where a name has been etched and etch has been ;0;275;Seller refurbished;0;None;White;64;1;10896
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;162;Used;1;Verizon;White;16;0;10934
;1;550;Used;1;Unknown;White;128;0;11997
;1;0.01;Used;0;None;Unknown;16;1;10561
Minor crack in top-back housing, minor dent in lower right housing.;0;289.99;Used;1;AT&T;Unknown;32;0;10574
;1;300;New;0;None;Space Gray;16;1;10245
New without box - Plastic still on iPad. Received replacement from Apple and never used since - ;0;324.9;New other (see details);1;AT&T;Black;32;0;11790
;1;50;New;0;None;White;64;1;10773
;0;298;Used;0;None;Unknown;16;0;11398
;0;299.99;Used;1;AT&T;Space Gray;16;0;10163
Used a few times for my iPad. Great Condition. Bluetooth Pairing.;1;7.99;Used;Unknown;Unknown;Unknown;Unknown;1;12448
;0;473.6;New;Unknown;Unknown;Black;Unknown;0;11403
;1;150;Used;1;AT&T;White;16;1;10376
;1;99;Used;0;None;Space Gray;16;1;10370
;0;175;Used;0;None;Unknown;16;0;10547
"&#039;Grade B&#039; Refurbished Product w/ 30 Day Warranty - May Contain Scuffs, Dings, Dents, and/or other ";0;199.99;Manufacturer refurbished;1;AT&T;Black;32;0;11926
"This unit has minor scratches on case and several small scratches on the display.
It is in ";0;89;Seller refurbished;0;None;Black;64;1;11860
;0;43.2;New;Unknown;Unknown;Unknown;Unknown;0;12475
;0;349.95;New;0;None;Unknown;16;1;11540
Really good condition, been in otterbox day 1. This is the iPad 4 to get!;0;325;Used;1;AT&T;Black;32;0;10559
;0;299.99;New other (see details);1;Unknown;White;16;0;10122
;0;175;Used;0;None;Unknown;16;1;10218
"B - Stock. Seller refurbished &amp; in Very Good cosmetic condition. 100% Fully Functional, iCloud ";0;303.99;Seller refurbished;0;None;White;64;0;11882
;0;175;Used;0;None;White;16;0;12052
Crack on digitizer near top. Top line of digitizer does not respond to touch. Other than that, all ;0;104;For parts or not working;1;Unknown;Black;16;0;12654
Used, been in case and screen protector since day 1. Literally flawless!;1;299;Used;1;Unknown;Unknown;64;1;10636
;0;575;New;1;Unknown;Unknown;32;0;11356
;0;200;For parts or not working;0;None;Black;16;0;12613
;0;499.99;Used;1;Verizon;Unknown;16;0;12043
;1;500;Used;1;Unknown;White;128;0;10867
;0;119.99;For parts or not working;0;None;Unknown;16;0;11668
Normal signs of wear and tear. Scratches on the back. See pictures. Comes with light blue magnetic ;0;175;Used;0;None;Unknown;16;0;10681
;0;99.95;For parts or not working;0;None;Unknown;16;0;11760
;1;300;Used;0;None;Black;32;0;11278
;0;424.95;Used;0;None;White;128;0;11112
Activation Locked Icloud Locked Passcode Locked Sold As Is No Returns All Sales Are Final;0;59.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11629
;0;649.95;New;1;Sprint;White;64;0;11140
Comes with folding black case and is engraved in small letters on the back.  Still works perfectly;1;140;Used;0;None;Unknown;32;0;10683
New open box. All accessories included. May have minor scratches;1;100;New other (see details);Unknown;Unknown;Unknown;Unknown;1;11944
;0;284.99;Used;Unknown;Unknown;Gold;16;0;11912
;1;0.99;Used;0;None;Unknown;16;1;10422
"great&lt;br&gt;";1;290;Used;0;None;White;16;0;11175
;1;5;Used;0;None;Black;16;1;10322
;0;499;Used;0;None;Space Gray;64;1;11350
;1;29.99;Used;1;AT&T;Black;32;1;10270
;0;370;Used;1;AT&T;Unknown;32;0;12104
;1;9.99;Used;0;None;Black;32;1;12076
;0;639;New;0;None;Unknown;128;0;11182
;0;374.95;Used;1;Verizon;Black;16;0;11794
This iPad 2 is used and is in good working order. It has scuffs/scratches from general use. Note ;0;139.98;Used;0;None;Black;16;0;10158
iPad looks and works good. Screen is new, back and edges will  have some scuffing.  Generic wall ;0;228.88;Seller refurbished;0;None;Unknown;32;0;12376
This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ;0;250;Used;0;None;Unknown;16;0;10663
;0;345;New;0;None;Gold;16;1;10319
Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ;1;0.99;For parts or not working;0;None;Unknown;16;1;11681
;0;310;Used;1;Verizon;Black;64;0;11194
Will contain minor scratches and other blemishes.;0;159.99;Used;0;None;Unknown;16;0;10969
"Physically in GREAT shape; minor scratching-- so minor that I couldn&#039;t get a clear photo of any. ";1;0.99;For parts or not working;0;None;Black;16;1;11726
;0;349.99;New;Unknown;Unknown;Gold;Unknown;0;10921
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ";0;358.24;Seller refurbished;1;AT&T;Space Gray;64;0;12452
;0;615.99;New;0;None;Space Gray;64;0;11141
In excellent condition. Minor scratches on the back. Screen in mint condition. Comes in original ;0;200;Used;1;AT&T;Black;32;1;12170
Zero Defects, Zero Scratches, Zero Dead Pixels! Absolutely Mint Condition. Exact same condition as ;1;249;Used;0;None;White;16;1;10584
;1;58;Used;0;None;Unknown;32;1;12229
Minor scratches on iPad body and/or screen.;0;184.99;Seller refurbished;0;None;Black;16;0;11248
;0;114.94;Used;1;AT&T;Unknown;32;0;10249
;1;9.5;For parts or not working;1;Unknown;Black;64;1;12573
Used, looks great and in excellent condition. very minor signs of wear.;1;399.99;Used;0;None;Unknown;16;0;10967
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;171;Used;1;Verizon;White;16;0;10776
;0;80;Used;1;AT&T;Black;16;1;10328
;1;165;Used;0;None;White;64;1;10210
Will have some cosmetic damage.;0;255;Used;1;AT&T;Unknown;16;0;12247
;1;220;Used;1;Verizon;Black;16;1;10654
;0;150;Used;0;None;Unknown;64;1;11535
Item is iCloud locked - Please see all the pictures for any additional information;1;59.99;For parts or not working;0;None;Unknown;16;1;12571
Used but in excellent condition. No dents, no cracks. Factory wiped and no activation lock.;1;99;Used;0;None;Unknown;32;1;11959
THIS IS USED HAS VERY LITTLE WEAR HAS A SCREEN PROTECTION PLEASE LOOK AT PICTURE;1;179;Used;1;Unknown;Black;16;0;10404
;1;45;For parts or not working;0;None;Unknown;16;0;11674
;0;269.94;New other (see details);0;None;Black;64;0;10079
;0;235;New;0;None;Space Gray;16;0;11512
;1;175;Used;0;None;Unknown;16;1;10056
;1;50;Used;1;AT&T;Black;Unknown;1;11430
;0;529.99;Used;0;None;Space Gray;16;0;10953
;0;720.12;Used;1;AT&T;Unknown;64;0;11019
*** Like new, Apple iPad Mini 3 WiFi+4G Silver 128GB. Comes with AC adapter and lightning cable.;0;599.99;Seller refurbished;1;Unknown;White;128;0;12394
;0;39.99;New;Unknown;Unknown;Unknown;Unknown;0;11454
;0;198.98;Used;0;None;Black;16;0;11257
"This Apple iPad Air 1st Gen 32GB is in good condition with few cosmetic flaws. Comes &amp; sold as is ";1;149.99;Used;0;None;Unknown;32;1;10363
Lightly Used Not Abused, Very Nice Used Condition with Minor Signs of Wear.;1;0.99;Used;0;None;Space Gray;16;1;11213
Barely used, like new;0;250;Used;0;None;Unknown;16;0;10115
;1;0.99;Used;0;None;Unknown;16;1;10558
Excellent condition, no scratches or defects. Fully Functional. Been kept in case and screen ;1;9.99;Used;0;None;White;64;1;10699
The iPad is in great shape, having been gently used and covered since purchase.  The Speck cover is ;1;0.01;Used;0;None;Black;16;1;12215
;0;215;Used;Unknown;Unknown;Unknown;Unknown;0;12342
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ;0;159.99;Used;0;None;White;16;0;12407
;0;241.88;New;0;None;White;16;1;10957
Perfect working order;0;259.99;Seller refurbished;0;None;Unknown;16;0;11063
great condition, significant scratch, does not affect anything on Ipad, works great;1;48.99;Used;0;None;Black;16;1;11975
;1;179.99;Used;0;None;White;16;0;10673
An item that has been restored to working order by the eBay seller or a third party not approved by ;0;480;Seller refurbished;0;None;Gold;64;0;10219
;0;220;For parts or not working;Unknown;Unknown;White;64;0;12600
;1;150;Used;Unknown;Unknown;Unknown;Unknown;1;11351
Icloud lock;0;129.99;For parts or not working;0;None;White;16;0;11610
;1;500;New;1;Unknown;White;128;0;10908
great shape;1;100;Used;1;Verizon;Unknown;64;1;10049
Item is not in the original box. Shows signs of use, guaranteed to be in working condition;0;174.99;Seller refurbished;1;AT&T;White;64;0;10968
;0;419.99;New;1;AT&T;White;16;0;11126
;1;200;Used;0;None;White;64;1;12357
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ;0;165;Used;Unknown;Unknown;Unknown;Unknown;0;11294
;0;439.99;New;0;None;Gold;16;0;11268
"a icloud lock that&#039;s why im selling it for parts as-is. The ipad has signs of use such as few ";1;160;For parts or not working;0;None;Unknown;16;0;11685
Includes all original packaging. Bought new two months ago and too late to return it. My loss is ;1;350;New other (see details);1;AT&T;White;16;0;11494
almost new, has small scratches on the side (as pictured) works perfectlycord and charger are ;0;250;Used;0;None;Black;16;1;10920
;1;99;Used;0;None;Unknown;16;1;10517
;1;450;New other (see details);0;None;Unknown;64;1;10092
;0;331.99;New;0;None;Gold;16;0;11546
;0;399.99;New;0;None;Space Gray;32;0;10513
;0;389.99;Used;0;None;Unknown;64;0;11339
;0;469;New;0;None;White;128;0;11084
"Only had for 2 months and just don&#039;t have a need for it but in perfect shape!! Will be unlocked only ";0;210;Used;0;None;Unknown;16;0;11543
A device listed in good condition with a few minor mark and/or scratches on the housing or display ;0;188;Used;1;AT&T;White;32;0;10829
Brand new. Bad ESN.;0;550;For parts or not working;1;Sprint;Unknown;128;0;11642
;1;279.99;New;0;None;White;16;0;12303
Good condition;0;179.99;Used;0;None;Unknown;16;0;12207
This iPad Mini 1st Gen sustained a very minor drop and the display glass was cracked on the top left ;1;9.99;For parts or not working;0;None;White;16;1;11732
;0;290;Used;0;None;Black;16;0;12070
;1;0.01;New;0;None;Unknown;16;1;11974
;1;215;Used;Unknown;None;Unknown;32;0;11346
;1;25;Used;0;None;Space Gray;Unknown;1;12129
;1;239.99;New;0;None;Space Gray;16;0;10680
;0;550;New;1;Unknown;Space Gray;16;0;11110
;1;40;Used;0;None;White;32;1;12022
;1;800;New;1;Unknown;Gold;128;0;10793
;0;159.94;Seller refurbished;0;None;White;64;0;11228
;0;350;New;Unknown;Unknown;Space Gray;16;0;11088
;0;225;Seller refurbished;0;None;White;32;0;11988
;1;200;New other (see details);0;None;White;32;1;12113
;0;350;Used;0;None;Black;Unknown;0;11364
;1;75;Used;0;None;Black;16;1;10505
;0;75;Used;0;None;Black;16;1;10014
;0;350;New;1;Sprint;White;32;0;11393
"4-5 semi deep 1&#034; scratches near top middle portion of screen.  Not really possible to photograph ";1;39.99;Used;0;None;Black;16;1;10300
;0;285;New;0;None;Black;16;0;11362
Good Condition(8.25/10), 100% functional with Flawless Retina Display. Unit has a dent on upper left ;1;1;New other (see details);0;None;Black;32;1;12031
;1;0.99;Used;0;None;Unknown;64;1;12310
Good Condition;0;149.99;Used;0;None;Black;16;1;10754
Ipad air 2 128 gb ATT factory unlock open box for unlock the ipad;0;800;New other (see details);1;AT&T;Unknown;128;0;12468
Great condition.  iPad only, no charger included.;0;89.95;Used;1;AT&T;Unknown;64;0;12644
*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ;0;443.09;Manufacturer refurbished;1;T-Mobile;Space Gray;32;0;11168
;1;99;Used;0;None;Black;16;1;12007
used for a few months, still in perfect condition;0;250;Used;0;None;White;16;1;10346
;1;180;Used;Unknown;Unknown;Unknown;Unknown;0;11437
VERY CLEAN!LIKE NEW!NO DENTS !VERY MINIMAL SIGNS OF USE! ALMOST MINT.wiped and ready for activation!;0;279.99;Used;0;None;Unknown;16;0;10850
;1;250;Used;1;AT&T;Black;16;1;10509
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ;1;149.99;Used;Unknown;Unknown;Unknown;Unknown;1;11302
Please note that this unit is in working condition, but is locked with another Apple ID;1;179.99;For parts or not working;0;None;Unknown;32;0;11651
Has been opened but not used...still in box. Does not come with a book or charger;0;259;New other (see details);1;AT&T;Unknown;16;0;10052
;1;125;Used;0;None;Black;32;1;10125
;0;380;Used;0;None;Black;64;0;11265
;1;5;Used;Unknown;Unknown;White;16;1;10293
;0;137.95;New;Unknown;Unknown;Unknown;Unknown;0;12482
;0;385;New;0;None;Unknown;16;0;12338
Used - Comes with charger. In Excellent Condition;1;0.99;Used;0;None;Space Gray;16;1;10327
Used. Tested. Guaranteed to work. Physical condition grade B+ does have some light scratches and ;0;239.95;Used;0;None;Black;32;1;11857
;0;145;Used;0;None;Unknown;16;0;12060
;0;670;Used;1;AT&T;Unknown;128;0;11264
This listing does not include a charger.;0;284.99;Used;Unknown;Unknown;White;16;0;10155
;1;0.99;Used;0;None;Unknown;16;1;10802
CRACKED SCREEB - TOUCHSCREEN STILL WORKS - WAS RESET BACK TO FACTORY SETTINGS WITHOUT ISSUES - FIND ;0;129.95;For parts or not working;1;AT&T;Black;32;0;11824
;1;75;Used;1;AT&T;Black;64;1;10361
;0;384.99;Used;0;None;Black;128;0;11253
;1;70;Used;0;None;Black;16;1;10336
This iPad mini is in very nice condition.;1;0.99;Used;1;Unknown;Space Gray;64;1;11122
;0;225;Used;0;None;Space Gray;16;0;11531
Used. Great condition, Please refer to photos for additional information.;0;319.95;Used;1;AT&T;White;16;0;10236
;1;50;Used;0;None;Black;64;1;10224
Never dropped, no scratches. Rarely used.;1;150;Seller refurbished;0;None;Unknown;16;0;10952
;0;175;Used;0;None;Black;16;0;12279
;0;450;New;0;None;Unknown;16;1;11212
Near mint, thin scratch on Apple logo;1;320;Used;1;Unknown;Black;128;1;12415
;0;499.99;New;1;Unknown;Gold;16;0;12404
;1;125;Used;0;None;Black;64;1;10901
;1;100;Used;1;AT&T;White;64;1;10278
Please see images and refer closely to the description.;1;0.99;Used;0;None;White;16;1;10174
Also Includes life proof case charger and wall adapter;0;500;Used;1;T-Mobile;Unknown;16;0;11021
Item in near perfect condition, without original box - comes with certified lightening cable and ;0;550;Manufacturer refurbished;1;Unknown;Unknown;64;0;11539
;1;0.99;Used;0;None;Unknown;16;1;10233
Professionally inspected, reset and cleaned in very good cosmetic and working condition. Units may ;0;119.99;Used;0;None;Black;16;0;11240
Like new, barely used;1;190.99;Used;0;None;Black;16;0;12219
"BROKEN: Device has at least one or more problems:
For Parts or Repair";0;36.95;For parts or not working;0;None;Unknown;16;1;11721
;0;235;Used;0;None;Unknown;32;0;12520
"The ipad won&#039;t power on. I set it on a charger for a while and nothing happened. Since I can&#039;t get ";1;15;For parts or not working;1;AT&T;Unknown;32;1;11598
;0;379.99;Used;0;None;Unknown;32;0;11779
Screen is flawless.  There are a few minor scratches on the body.;1;1;Used;1;Verizon;Unknown;16;1;10768
No original packaging for keyboard;1;175;Used;1;T-Mobile;White;16;1;10795
;0;28;New;Unknown;Unknown;Unknown;Unknown;0;11456
Screen is in excellent shape, no visible cracks or scratches.;0;153.95;Seller refurbished;0;None;Black;32;0;11874
;1;120;Used;1;Unknown;White;64;1;10521
;1;225;Used;0;None;Unknown;32;0;12117
***** CRACKED DIGITIZER SCREEN *****;0;540;Used;1;Verizon;Unknown;32;0;11287
Screen turns OFF when pressure is applied on it by touching it. When applying pressure on another ;1;20;For parts or not working;0;None;Space Gray;16;1;11717
;1;550;New;0;None;Gold;64;0;11000
;0;560;New;0;None;Unknown;64;0;11334
Like New Condition Apple iPad Mini 3 MGYE2LL/A 16GB Wi-Fi Gold Version Tablet/eReader. Includes USB ;0;303.67;Used;0;None;Gold;16;0;11105
;0;14;Used;0;None;Black;16;0;10537
;0;70;Used;0;None;Black;Unknown;0;11579
;0;500;New;1;Unknown;Unknown;16;0;11013
Has a small crack on top right corner;1;160;Used;0;None;Black;16;0;10103
;0;319.85;Seller refurbished;0;None;Black;32;0;10083
;1;1;Used;0;None;Space Gray;16;1;11422
;0;149;Seller refurbished;0;None;Unknown;16;1;11608
;0;100;Used;0;None;Unknown;16;0;11111
Small chip in corner.;0;159.99;Used;1;Verizon;Unknown;32;0;10252
works perfectly this ipad is in good conditions, but the screen goes and come, it need to be fix or ;1;0.99;Used;0;None;Black;32;1;10885
very Nice;1;50;Used;0;None;Unknown;64;1;12653
;1;0.01;Seller refurbished;0;None;Unknown;32;1;10166
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;248;Used;1;Verizon;White;32;0;11230
;0;110;Used;0;None;Black;16;0;11439
;1;49.49;Used;0;None;Unknown;32;1;10134
In perfect condition. No physical flaws.;0;350;Used;0;None;Unknown;32;0;11586
;0;799.99;New;1;Unknown;White;128;0;11292
;0;425;Used;1;AT&T;Gold;16;0;10523
New Open Box;0;259.99;New other (see details);1;Sprint;White;64;0;12109
;1;5;For parts or not working;0;None;White;16;1;11666
This TAB is in good condition with minor scratches on the housing or screen (does not affect ;0;215;Used;1;AT&T;White;32;0;10144
;0;550;New;1;Unknown;Unknown;16;0;11151
Powers up, Good Glass, LCD, Digi. All functions are working properly. Battery Used, Tested, Working ;1;50;Used;0;None;Black;32;1;11839
In perfect working order. No scratches, dents, cracks, etc.;1;115;Used;0;None;Black;16;1;10417
;1;134.61;Used;0;None;White;16;1;10356
Will have cosmetic damage;0;199.99;Used;0;None;Unknown;64;0;12211
;0;149.99;For parts or not working;1;Verizon;Unknown;32;0;12549
;1;0.99;Seller refurbished;Unknown;Unknown;Unknown;Unknown;1;10421
Ipad is in good condition, minimal wear and tear. Ipad will not power on. Keeps boot looping on ;0;59.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11733
***128gb***  black/space grey iPad Air EUC (no scratches, dents, or blemishes);1;550;Used;Unknown;Unknown;Space Gray;128;0;12435
;1;485;New other (see details);0;None;Unknown;64;1;10775
;0;99.99;Used;1;Unknown;Unknown;32;0;10366
GOOD COSMETIC AND PERFECT WORKING CONDITION! HAS JUST TWO DENTS ON CORNERS! SCREEN FREE OF ;1;149;Used;0;None;Space Gray;16;1;10694
Previously Owned. Please read the entire auction. Tablet has only a very light scratches on back of ;1;295;Used;1;Verizon;Space Gray;16;1;10342
;0;51.99;New;Unknown;Unknown;Unknown;Unknown;0;11440
;1;50;Used;0;None;Black;32;1;11937
;1;325;Used;0;None;Space Gray;128;1;10118
;0;400;New;0;None;Gold;16;0;11859
;1;89.95;Used;0;None;Black;32;1;10150
Excellent Condition no scratches on glass.;1;85;Used;1;AT&T;Black;64;1;12015
Please scroll down to see pictures and full description;0;52.99;For parts or not working;1;AT&T;Black;32;1;11727
Contact us with any questions!;0;174.99;Used;0;None;Black;16;0;11109
;0;550;New;0;None;Gold;64;0;10087
;0;180;Used;0;None;Black;32;1;10630
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;172;Used;0;None;White;32;0;11091
;0;450;New;0;None;Unknown;16;0;12446
;0;260;Manufacturer refurbished;1;Verizon;Unknown;16;0;10770
;1;1;Used;1;AT&T;Unknown;16;1;10475
;0;349.99;Used;1;Sprint;Unknown;64;1;11218
Super clean with box.;1;149.95;Used;0;None;Black;16;1;12217
Item is used. Item does show signs of wear from use. There are multiple surface scratches and scuffs ;0;189;Used;0;None;Unknown;64;0;10216
;1;199;Used;0;None;Black;16;0;10766
;0;429.99;New;Unknown;Unknown;Space Gray;64;0;12302
;0;520.9;New;Unknown;Unknown;White;Unknown;0;11404
;0;209;For parts or not working;Unknown;Unknown;Unknown;16;0;11649
This is a A- Stock item, meaning the unit is in a very good cosmetic condition. It shows a smooth ;0;389.99;Used;1;AT&T;Unknown;64;0;12131
This tablet is in great condition it totally working but need to reactivated is the only, i do not ;1;10;For parts or not working;0;None;Unknown;16;1;11628
In great working condition, Power button does not work, See description, iCloud is unlocked;0;146.99;Used;0;None;White;16;0;11044
New open box appears to be new, liquidation stock powers on works as it should.;1;175;New other (see details);0;None;White;16;0;10695
Like New Condition!;0;199.99;Used;0;None;Space Gray;16;0;11093
;0;150;Used;0;None;Unknown;16;1;11589
Geek Squad certified with apple warranty till April 5, 2016;1;0.99;Seller refurbished;1;AT&T;White;32;1;11947
Well Kept. Placed in a binder/protector as soon as it came off the box. Used only for occasional ;1;130;Used;0;None;Unknown;16;0;11009
;1;599.99;New;0;None;Space Gray;16;0;12500
This is a Apple iPad 2 16GB Wifi only. The iPad has a cracked screen and bent corner(s). In the 2nd ;0;89.99;For parts or not working;0;None;White;16;0;11640
;0;369.99;Used;1;Verizon;Space Gray;32;0;11917
;1;40;Used;0;None;Unknown;16;0;10488
;1;50;Used;0;None;Black;16;1;12190
Never been used period, oped to activate , it will be shut off around a week after u receive it so u ;1;0.99;New other (see details);0;None;Gold;16;1;12340
;1;450;Used;Unknown;Unknown;Unknown;Unknown;0;12484
;1;170;Used;Unknown;Unknown;Space Gray;16;0;12099
great working iPad 2;0;139;Used;0;None;White;16;0;11892
Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ;0;349.99;Seller refurbished;1;AT&T;White;32;0;12386
;0;227.88;Manufacturer refurbished;0;None;Unknown;16;0;11087
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ;0;369.99;Used;1;Verizon;Space Gray;64;0;12176
Check SN DLXNQAT9G5WT Barely used no scratches or blemishes. Comes with ZAGG GLASS INSTALLED. Love ;1;399;Used;1;Unknown;Gold;16;0;12497
;1;245;Used;1;Verizon;Unknown;32;1;10427
;0;325;Used;0;None;Unknown;16;0;11120
;0;185;Used;Unknown;Unknown;Unknown;Unknown;0;10451
Good condition and functional 16GB iPad Mini Wifi - White. Please read full discription;1;149;Used;0;None;White;16;0;10528
;0;561.53;New;Unknown;Unknown;White;Unknown;0;11282
INTERNATIONAL BUYERS/FREIGHT FORWARDERS: WE ARE NOT ABLE TO SHIP INTERNATIONALLY, NOR TO FREIGHT ;0;249.99;Used;1;AT&T;Black;32;0;11018
It works perfect. Just minor scuffs.;0;199.97;Used;0;None;Unknown;32;0;11089
;0;305;New other (see details);1;Unknown;Black;32;1;10312
Great condition;0;255;Used;0;None;Unknown;16;0;12528
;1;300;New;0;None;Space Gray;32;1;10730
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ;1;249.97;Used;1;Unknown;Unknown;32;0;10904
Like New with box;0;187.89;Used;0;None;Space Gray;16;0;11341
;0;179;Used;1;Verizon;White;32;1;11505
;1;25;For parts or not working;Unknown;Unknown;Unknown;16;1;11709
"I&#039;m great condition! Rarely ever been used and has always been in a case.";1;199.99;Used;0;None;Unknown;16;0;12261
New - Open Box. Charger included.;1;100;New other (see details);Unknown;Unknown;Unknown;Unknown;1;10130
;0;339.99;New;1;Sprint;Black;32;0;11405
;1;89.99;Used;0;None;Black;16;1;10576
;0;199.99;New other (see details);0;None;Unknown;16;1;10367
;0;95;Used;1;AT&T;Unknown;64;0;12655
Perfect condition, barely used, no scratches or damage, still in the box along with the charger;1;300;Used;0;None;Unknown;16;1;10869
;1;30;For parts or not working;0;None;White;16;1;11632
;1;175;Used;0;None;White;16;1;11940
;1;149.99;Used;0;None;Unknown;16;1;10368
The screen has a few scratches. The back has scratches and scuffs and a few small dents.;1;40;Used;1;AT&T;Unknown;16;1;10349
;0;29.99;For parts or not working;1;AT&T;Unknown;16;1;11601
Near perfect cosmetic, perfect working condition.;0;220;Used;0;None;Unknown;16;0;10737
;1;200;New;Unknown;Unknown;Space Gray;32;1;10653
new digitizer and charger;1;0.99;Used;0;None;Unknown;16;1;10223
the iPad is in excellent condition. The Otterbox has some wear and tear, I took a picture of a piece ;0;200;Used;1;AT&T;Unknown;16;1;10394
OPENED BOX TO MAKE SURE ITEM IS THERE. PLASTIC STILL ON IPAD;1;0.99;New other (see details);0;None;White;32;1;12260
The body has some light scratches and the back has some engraving. There is a ding on the top right ;0;209.99;Used;0;None;White;32;0;10047
;1;346;New;0;None;Space Gray;32;1;10812
;1;0.99;Used;1;Verizon;White;16;1;10899
;1;49;For parts or not working;0;None;Unknown;16;1;12556
;0;579.99;New;1;AT&T;Unknown;128;0;11782
;1;0.99;Used;1;AT&T;Black;16;1;12234
perfect condition;0;289;Used;Unknown;Unknown;Unknown;Unknown;0;11568
;0;559;New other (see details);0;None;Gold;64;0;11895
Tablet is Good Working and has been reset to factory settings.;0;299.99;Used;0;None;Unknown;16;0;10915
iPad Air 2 16 gb Logic board NO ICLOUD !!!  NO TURN ON , NO POWER;0;59;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11759
"iPad has been tested and is in good working condition; Includes AC adapter USB cable; Screen and ";1;224.98;Used;0;None;White;32;0;10532
Manufacturer refurbished, i had it for 2 years already with minor scrapes and it work properly. ;1;265;Used;0;None;White;16;0;11482
;0;325;New;0;None;Black;16;1;10453
;1;225;Seller refurbished;1;AT&T;White;16;0;10264
Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ;1;0.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11708
4 of 5. This item is gently used. The item shows minor signs of wear and tear including scuff marks ;0;189.99;Used;1;AT&T;Unknown;16;0;10362
;1;150;New;1;AT&T;Unknown;16;1;11992
;0;520;New;0;None;Unknown;64;0;12047
;0;249;Seller refurbished;Unknown;Unknown;White;16;0;12465
;1;149.99;Used;0;None;Black;16;1;12391
;1;75;For parts or not working;0;None;White;16;1;12590
;1;199.99;Used;0;None;Unknown;16;1;12275
30 Day Warranty.  Refurbished iPad 2 with scratching on screen and wear on backplate.  Comes with ;0;199.99;Seller refurbished;Unknown;None;Black;Unknown;0;11811
In perfect condition! Not a scratch!;0;500;Used;1;AT&T;White;128;0;11519
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ;0;179;Used;0;None;White;64;0;11261
Very Good Condition;1;99;Used;0;None;Space Gray;16;1;10179
